STORER,LOT,ITEMNUMBER,STORERLOT,DOCUMENTNUMBER,STARTDATE,STARTTIME,COMPLETIONDATE,COMPLETIONTIME,COMPLETEDBY,PALLET,DOCUMENTDESCRIPTION,REASON,FULLDESCRIPTION,CUSTOMERNAME,FROMTO,QUANTITY,INNERPACK,CREATEDATE,CREATETIME,UMIID,CASES
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.35","2023-10-06","08.42.35","BRICRF    ","0962627-12  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.35",0      ,-60.00     
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.37","2023-10-06","08.42.37","BRICRF    ","0962627-15  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.37",0      ,-60.00     
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.40","2023-10-06","08.42.40","BRICRF    ","0962627-16  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.40",0      ,-60.00     
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.42","2023-10-06","08.42.42","BRICRF    ","0962627-17  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.42",0      ,-60.00     
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.45","2023-10-06","08.42.45","BRICRF    ","0962627-19  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.45",0      ,-60.00     
"001730","0962627   ","196555346752             ","                    ","0006231   ","2023-10-06","08.42.47","2023-10-06","08.42.47","BRICRF    ","0962627-21  ","Cycle Count                   ","Cycle Count Differences       ","TST SRF STRDR (MNS) 004                                                                             ","Speedo C/O Dawson Logistics   ","From: E115       To: E115      ",240      ,4      ,"2023-10-06","08.42.47",0      ,-60.00     
"001859","0963865   ","TM438                    ","3067                ","0318564   ","2023-10-06","08.41.57","2023-10-06","08.43.08","ESTEPHANIE","0963865-07  ","Pick                          ",,"Sprout Organics Toddler Meal Pasta and Veggie Sauce 5 oz                                            ","Sprout Foods, Inc             ","From: B019       To:           ",-1       ,1      ,"2023-10-06","08.41.57",1      ,1.00       
"001859","0963935   ","TM439                    ","3132                ","0318564   ","2023-10-06","08.43.09","2023-10-06","08.43.30","ESTEPHANIE","0963935-05  ","Pick                          ",,"Sprout Organics Toddler Meal Veggie Power Bowl 5 oz                                                 ","Sprout Foods, Inc             ","From: B023       To:           ",-1       ,1      ,"2023-10-06","08.43.09",1      ,1.00       
"001859","0908620   ","SNK856                   ","3004                ","0318681   ","2023-10-06","08.41.26","2023-10-06","08.44.28","ERICKA    ","0908620-14  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack SPR CM BLUEBERRY APPLE WAFF                         ","Sprout Foods, Inc             ","From: D050       To:           ",-4       ,1      ,"2023-10-06","08.41.26",1      ,1.00       
"001859","0963752   ","TM436                    ","3128                ","0318674   ","2023-10-06","08.40.34","2023-10-06","08.44.35","LORENZO   ","0963752-24  ","Pick                          ",,"Sprout Organics Toddler Meal Butternut Mac and Cheese 5 oz                                          ","Sprout Foods, Inc             ","From: B007       To:           ",-11      ,1      ,"2023-10-06","08.40.34",1      ,1.00       
"001859","0922686   ","HFS411                   ","2313                ","0318564   ","2023-10-06","08.44.31","2023-10-06","08.45.14","ESTEPHANIE","0922686-16  ","Pick                          ",,"Sprout Organics Power Pak Apple with Superblend Blueberry and Plum 12+ Months 4.0 oz                ","Sprout Foods, Inc             ","From: D032       To: STG001    ",-1       ,2      ,"2023-10-06","08.44.31",1      ,.50        
"001730","0861330   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.34","2023-10-06","08.46.34","ANDERCRF  ","0861330-08  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.34",0      ,1.00       
"001730","0867338   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.38","2023-10-06","08.46.38","ANDERCRF  ","0867338-17  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.38",0      ,1.00       
"001730","0872858   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.40","2023-10-06","08.46.40","ANDERCRF  ","0872858-27  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.40",0      ,1.00       
"001730","0872858   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.41","2023-10-06","08.46.41","ANDERCRF  ","0872858-38  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.41",0      ,1.00       
"001730","0872858   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.43","2023-10-06","08.46.43","ANDERCRF  ","0872858-41  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.43",0      ,1.00       
"001730","0873214   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.44","2023-10-06","08.46.44","ANDERCRF  ","0873214-01  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.44",0      ,1.00       
"001730","0873214   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.46","2023-10-06","08.46.46","ANDERCRF  ","0873214-05  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.46",0      ,1.00       
"001730","0873214   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.47","2023-10-06","08.46.47","ANDERCRF  ","0873214-10  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.47",0      ,1.00       
"001730","0873214   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.48","2023-10-06","08.46.48","ANDERCRF  ","0873214-22  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.48",0      ,1.00       
"001730","0873222   ","196555196784             ","                    ","0006237   ","2023-10-06","08.46.50","2023-10-06","08.46.50","ANDERCRF  ","0873222-03  ","Cycle Count                   ","Cycle Count Differences       ","TST SPLASH JAMMER SMS 331                                                                           ","Speedo C/O Dawson Logistics   ","From: F191       To: F191      ",24       ,1      ,"2023-10-06","08.46.50",0      ,1.00       
